calinski_harabasz,cluster_0_fraction,cluster_1_fraction,cluster_2_fraction,confidence_mean,confident_fraction_080,confident_fraction_095,davies_bouldin,edge_accuracy,edge_balanced_accuracy,edge_latency_us_per_frame,edge_macro_f1,edge_parameter_count,extreme_separation_std,feature_count,feature_set,fit_seconds,fold,model,protocol,raw_mean_run_length,raw_median_run_length,raw_short_run_frame_fraction,raw_switches,raw_switches_per_1000,seed,silhouette,switch_reduction_fraction,task_id,temporal_mean_run_length,temporal_median_run_length,temporal_short_run_frame_fraction,temporal_switches,temporal_switches_per_1000,test_frames,thermal_mean_nominal,thermal_mean_over,thermal_mean_under,thermal_monotonic,train_frames
1383.778032891692,0.1989532058072154,0.282883668764409,0.5181631254283756,0.9891538831754088,0.979188734500592,0.9542027540656739,2.227551137288463,,,,,,1.3763615534446274,26,physical_temporal,1.6826294140191749,3,anchored_gmm,cross_validation,11.439059158945117,6.0,0.026730637422892393,974,62.35595390524968,43,0.21464727909541265,0.36755646817248466,cv__physical_temporal__anchored_gmm__fold3__seed43,15.357894736842105,10.0,0.006916318773755374,616,39.436619718309856,16049,1.4129555313242894,1.7554072048327807,-2.0963839185969078,True,64196
2128.995848923457,0.0995700666708206,0.36257710760795064,0.5378528257212287,0.9909686963964381,0.983238831079818,0.9601844351673001,1.441920531992458,,,,,,2.393023891901564,26,physical_temporal,1.5133913040626794,3,anchored_gmm,cross_validation,9.955955334987593,5.0,0.04860115895071344,1183,75.73623559539053,44,0.1921465422424443,0.22316145393068465,cv__physical_temporal__anchored_gmm__fold3__seed44,11.905786350148368,9.0,0.031341516605395976,919,58.8348271446863,16049,-0.3568816073358621,2.648822582677434,-4.048130090777519,True,64196
2193.2000446630245,0.3309863542899869,0.44251978316406004,0.22649386254595302,0.9827493274734864,0.9635491307869649,0.9263505514362266,1.6974459501805859,,,,,,2.403100433318592,26,physical_temporal,0.7308008840773255,4,anchored_gmm,cross_validation,6.980861244019139,3.0,0.07065860801296031,1870,119.71830985915493,42,0.19362949196428303,0.20320855614973254,cv__physical_temporal__anchored_gmm__fold4__seed42,8.363210005211048,4.0,0.04610879182503583,1490,95.39052496798976,16049,-0.15506657729260287,2.968384632804879,-3.0542279075419625,True,64196
1729.279553840437,0.38282759050408127,0.2726649635491308,0.34450744594678795,0.9900732766883661,0.9799364446382952,0.9586267057137516,2.207288893859845,,,,,,1.3665446126266398,26,physical_temporal,1.9260783159406856,4,anchored_gmm,cross_validation,10.858592692828147,6.0,0.02835067605458284,1049,67.15749039692702,43,0.2524720704367912,0.3555767397521449,cv__physical_temporal__anchored_gmm__fold4__seed43,14.523981900452489,9.0,0.007477101377032837,676,43.27784891165173,16049,0.3339507728700194,1.1175719090910443,-2.3072407233061227,True,64196
2215.9336701781,0.3306124992211353,0.4427690198766278,0.2266184809022369,0.9827267468346899,0.9637360583213908,0.9267867156832201,1.7034182380453695,,,,,,2.4032301768878943,26,physical_temporal,0.7808645479381084,4,anchored_gmm,cross_validation,6.980861244019139,3.0,0.07084553554738612,1870,119.71830985915493,44,0.1933974891810335,0.20320855614973254,cv__physical_temporal__anchored_gmm__fold4__seed44,8.363210005211048,4.0,0.04610879182503583,1490,95.39052496798976,16049,-0.15675987647374184,2.9672794130137192,-3.0556582886275385,True,64196
13184.910732064382,0.2711695432737242,0.44096205371051156,0.2878684030157642,0.9814415104258748,0.9628637298274035,0.9234220200635553,0.7030333773562963,,,,,,2.4094688724399185,10,appearance,0.4148799190297723,,anchored_gmm,holdout,6.832269050659855,3.0,0.09682846283257524,1920,122.91933418693982,42,0.4550118939517834,0.2510416666666666,holdout__appearance__anchored_gmm__seed42,8.596143545795394,4.0,0.06579849211788896,1438,92.06145966709347,16049,0.06264223674179835,3.034936523589873,-3.006941947201463,True,64196
13078.401667567496,0.27104492491744037,0.4408374353542277,0.288117639728332,0.9814392438799129,0.9627391114711197,0.9235466384198392,0.7053444615872166,,,,,,2.4092835017012355,10,appearance,0.5289095420157537,,anchored_gmm,holdout,6.826456826882178,3.0,0.097077699545143,1922,123.04737516005122,43,0.45520974070878173,0.25182101977107174,holdout__appearance__anchored_gmm__seed43,8.596143545795394,4.0,0.06573618293974702,1438,92.06145966709347,16049,0.06109270662530616,3.033923884887434,-3.007489758369513,True,64196
13417.702713654107,0.2834444513676865,0.4444513676864602,0.2721041809458533,0.9820133534576776,0.9637360583213908,0.9232350925291295,0.6961413630157945,,,,,,2.4169958549794988,10,appearance,0.40351220907177776,,anchored_gmm,holdout,6.873233404710921,3.0,0.09682846283257524,1906,122.02304737516005,44,0.45978321574772907,0.24973767051416573,holdout__appearance__anchored_gmm__seed44,8.633136094674557,4.0,0.06530001869275344,1430,91.54929577464789,16049,0.16003025680240882,3.1188182109835014,-2.941934591108019,True,64196
13180.506200645652,0.2848775624649511,0.44600909714000875,0.2691133403950402,0.9820824323472711,0.9642345317465263,0.9224250732132843,0.7005490102896044,,,,,,2.4211510015287394,10,appearance,1.1163359570782632,,gmm,holdout,6.882075471698113,3.0,0.09470995077574927,1903,121.83098591549296,42,0.4559395892881612,0.24855491329479773,holdout__appearance__gmm__seed42,8.633136094674557,4.0,0.06467692691133405,1430,91.54929577464789,16049,0.17525315098754182,3.135918470606989,-2.9352535947362766,True,64196
13122.437228400999,0.2848775624649511,0.44600909714000875,0.2691133403950402,0.9820827116381919,0.9642345317465263,0.9224250732132843,0.7010414227862137,,,,,,2.4211510015287394,10,appearance,1.540394325973466,,gmm,holdout,6.882075471698113,3.0,0.09470995077574927,1903,121.83098591549296,43,0.4579589388076547,0.24855491329479773,holdout__appearance__gmm__seed43,8.633136094674557,4.0,0.06467692691133405,1430,91.54929577464789,16049,0.17525315098754182,3.135918470606989,-2.9352535947362766,True,64196
